ID	Target	Tweet	Stance
0	Anti-vax	Let this sink in  Black Americans are 1.4x more likely to get #COVID19 &amp; 2.8x more likely to die, than Whites.  But in Florida5.5% of Whites got at least 1 vaccine dose by Jan. 26, versus 2% of Blacks.  Vaccine disparities will exacerbate inequalities. https://t.co/STcOiicKpA https://t.co/7SEQfR8q5t COVID19	NONE
1	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
2	Anti-vax	Am often asked about different vaccines and their efficacy  Each trials tracks, reports efficacy differently  Currently, we have preliminary results for Novavax and J&amp;J   But what numbers matter? What should you look for?   Here's one set of data to track. In a simple table https://t.co/9m2OBgqcla	AGAINST
3	Anti-vax	Am often asked about different vaccines and their efficacy  Each trials tracks, reports efficacy differently  Currently, we have preliminary results for Novavax and J&amp;J   But what numbers matter? What should you look for?   Here's one set of data to track. In a simple table https://t.co/9m2OBgqcla	AGAINST
4	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
5	Anti-vax	In Florida, black people cant get the vaccine.  Most arent refusing. Theyre just not willing or able to navigate the Hunger Games set up by DeSantis to keep the vaccine away from disadvantaged communities. https://t.co/NoHyO5uZmo	AGAINST
6	Anti-vax	The Biden Administration lost 20 million COVID vaccines...  This entire administration is a joke. https://t.co/ApFGplHKGC	NONE
7	Anti-vax	"@iMusing ""If you want to understand vaccines..."" don't listen to this liar. Here is an excellent analysis from two experts. We fucked up big time on vaccines. #ScottysCorruptionParty  https://t.co/pz7pYeuvLH ScottysCorruptionParty"	NONE
8	Anti-vax	No one thought to make restaurant workers eligible for the vaccine before they opened outdoor dinning back up??? These workers are literally putting their life at risk serving these unmasked people	AGAINST
9	Anti-vax	1/ Masks aren't the answer. Lockdowns aren't. School closures aren't. Travel bans aren't. The early Israeli data suggest vaccines won't be either. (Just as they aren't for the flu.)  A year in, the choice is ever clearer:  Live with the ro, or destroy ourselves trying to stop it.	AGAINST
10	Anti-vax	Let this sink in  Black Americans are 1.4x more likely to get #COVID19 &amp; 2.8x more likely to die, than Whites.  But in Florida5.5% of Whites got at least 1 vaccine dose by Jan. 26, versus 2% of Blacks.  Vaccine disparities will exacerbate inequalities. https://t.co/STcOiicKpA https://t.co/7SEQfR8q5t COVID19	NONE
